Hour,% of pores sequencing (pore activity),% pores sequencing at start,Normalised % of pores sequencing,Group
0,57.1,59.5,1.04,Zymo Kit No Fragmented
1,59.5,59.5,1.00,Zymo Kit No Fragmented
2,58.9,59.5,1.01,Zymo Kit No Fragmented
3,56,59.5,1.06,Zymo Kit No Fragmented
4,53,59.5,1.12,Zymo Kit No Fragmented
5,48,59.5,1.24,Zymo Kit No Fragmented
6,45.3,59.5,1.31,Zymo Kit No Fragmented
7,41.1,59.5,1.45,Zymo Kit No Fragmented
8,37.4,59.5,1.59,Zymo Kit No Fragmented
9,33,59.5,1.80,Zymo Kit No Fragmented
10,28.6,59.5,2.08,Zymo Kit No Fragmented
11,26.3,59.5,2.26,Zymo Kit No Fragmented
12,23.8,59.5,2.50,Zymo Kit No Fragmented
13,21.1,59.5,2.82,Zymo Kit No Fragmented
14,19.3,59.5,3.08,Zymo Kit No Fragmented
15,18.8,59.5,3.16,Zymo Kit No Fragmented
16,18,59.5,3.31,Zymo Kit No Fragmented
17,16,59.5,3.72,Zymo Kit No Fragmented
18,14.5,59.5,4.10,Zymo Kit No Fragmented
19,12.3,59.5,4.84,Zymo Kit No Fragmented
20,12.1,59.5,4.92,Zymo Kit No Fragmented
21,10.2,59.5,5.83,Zymo Kit No Fragmented
22,9.3,59.5,6.40,Zymo Kit No Fragmented
23,8.3,59.5,7.17,Zymo Kit No Fragmented
24,8.1,59.5,7.35,Zymo Kit No Fragmented
25,7.7,59.5,7.73,Zymo Kit No Fragmented
26,6.4,59.5,9.30,Zymo Kit No Fragmented
27,6.2,59.5,9.60,Zymo Kit No Fragmented
28,5.4,59.5,11.02,Zymo Kit No Fragmented
29,4.8,59.5,12.40,Zymo Kit No Fragmented
30,3.8,59.5,15.66,Zymo Kit No Fragmented
31,3.3,59.5,18.03,Zymo Kit No Fragmented
32,3.5,59.5,17.00,Zymo Kit No Fragmented
33,4.2,59.5,14.17,Zymo Kit No Fragmented
34,3.2,59.5,18.59,Zymo Kit No Fragmented
35,3.3,59.5,18.03,Zymo Kit No Fragmented
36,3.7,59.5,16.08,Zymo Kit No Fragmented
37,2.2,59.5,27.05,Zymo Kit No Fragmented
38,3.5,59.5,17.00,Zymo Kit No Fragmented
39,2.9,59.5,20.52,Zymo Kit No Fragmented
40,2.9,59.5,20.52,Zymo Kit No Fragmented
41,3,59.5,19.83,Zymo Kit No Fragmented
42,2.8,59.5,21.25,Zymo Kit No Fragmented
43,2.4,59.5,24.79,Zymo Kit No Fragmented
44,1.9,59.5,31.32,Zymo Kit No Fragmented
45,2.6,59.5,22.88,Zymo Kit No Fragmented
46,2.3,59.5,25.87,Zymo Kit No Fragmented
47,3.4,59.5,17.50,Zymo Kit No Fragmented
48,2.5,59.5,23.80,Zymo Kit No Fragmented
49,1.7,59.5,35.00,Zymo Kit No Fragmented
50,1.9,59.5,31.32,Zymo Kit No Fragmented
51,2,59.5,29.75,Zymo Kit No Fragmented
52,2.1,59.5,28.33,Zymo Kit No Fragmented
0,63.4,63.9,1.01,Phenol No Fragmented
1,63.5,63.9,1.01,Phenol No Fragmented
2,63.9,63.9,1.00,Phenol No Fragmented
3,60.2,63.9,1.06,Phenol No Fragmented
4,56.5,63.9,1.13,Phenol No Fragmented
5,52.4,63.9,1.22,Phenol No Fragmented
6,48.2,63.9,1.33,Phenol No Fragmented
7,43.6,63.9,1.47,Phenol No Fragmented
8,39.9,63.9,1.60,Phenol No Fragmented
9,36.2,63.9,1.77,Phenol No Fragmented
10,32.3,63.9,1.98,Phenol No Fragmented
11,29.9,63.9,2.14,Phenol No Fragmented
12,27,63.9,2.37,Phenol No Fragmented
