Hour,Number of available pores,Number of pores at start,Normalised number of pores,Group
1,1193,1193,1,Zymo Kit No Fragmented
2,1117,1193,0.936295054,Zymo Kit No Fragmented
3,1053,1193,0.882648785,Zymo Kit No Fragmented
4,986,1193,0.826487846,Zymo Kit No Fragmented
5,903,1193,0.756915339,Zymo Kit No Fragmented
6,817,1193,0.684828164,Zymo Kit No Fragmented
7,735,1193,0.616093881,Zymo Kit No Fragmented
8,718,1193,0.601844091,Zymo Kit No Fragmented
9,621,1193,0.520536463,Zymo Kit No Fragmented
10,571,1193,0.478625314,Zymo Kit No Fragmented
11,518,1193,0.434199497,Zymo Kit No Fragmented
12,475,1193,0.398155909,Zymo Kit No Fragmented
13,456,1193,0.382229673,Zymo Kit No Fragmented
14,430,1193,0.360435876,Zymo Kit No Fragmented
15,386,1193,0.323554065,Zymo Kit No Fragmented
16,380,1193,0.318524728,Zymo Kit No Fragmented
17,336,1193,0.281642917,Zymo Kit No Fragmented
18,324,1193,0.271584241,Zymo Kit No Fragmented
19,299,1193,0.250628667,Zymo Kit No Fragmented
20,252,1193,0.211232188,Zymo Kit No Fragmented
21,234,1193,0.196144174,Zymo Kit No Fragmented
22,205,1193,0.171835708,Zymo Kit No Fragmented
23,225,1193,0.188600168,Zymo Kit No Fragmented
24,198,1193,0.165968148,Zymo Kit No Fragmented
25,182,1193,0.15255658,Zymo Kit No Fragmented
26,169,1193,0.141659681,Zymo Kit No Fragmented
27,182,1193,0.15255658,Zymo Kit No Fragmented
28,125,1193,0.104777871,Zymo Kit No Fragmented
29,114,1193,0.095557418,Zymo Kit No Fragmented
30,117,1193,0.098072087,Zymo Kit No Fragmented
31,166,1193,0.139145013,Zymo Kit No Fragmented
32,116,1193,0.097233864,Zymo Kit No Fragmented
33,102,1193,0.085498743,Zymo Kit No Fragmented
34,154,1193,0.129086337,Zymo Kit No Fragmented
35,92,1193,0.077116513,Zymo Kit No Fragmented
36,101,1193,0.08466052,Zymo Kit No Fragmented
37,103,1193,0.086336966,Zymo Kit No Fragmented
38,98,1193,0.082145851,Zymo Kit No Fragmented
39,102,1193,0.085498743,Zymo Kit No Fragmented
40,93,1193,0.077954736,Zymo Kit No Fragmented
41,75,1193,0.062866723,Zymo Kit No Fragmented
42,67,1193,0.056160939,Zymo Kit No Fragmented
43,82,1193,0.068734283,Zymo Kit No Fragmented
